"DATE","WEIGHT","TOE","POP","REC"
2019-11-29,56,"10//172070100",86,FALSE
2019-12-31,55,"10//172070100",101,FALSE
2019-11-30,31,"10//17306090",86,FALSE
2019-12-31,48,"10//17306090",101,FALSE
2020-01-29,42,"10//17307080",89,FALSE
2019-11-30,32,"10//173080100",86,FALSE
2019-11-30,28,"10//17308090",86,FALSE
2020-01-01,41,"10//17308090",101,FALSE
2020-01-29,42,"10//17308090",89,FALSE
2018-05-02,40,"10//17405070",40,FALSE
2019-11-30,23,"10//17406070",86,FALSE
2019-12-31,39,"10//17508090",101,FALSE
2021-12-30,18,"10//18204060",17,FALSE
2018-08-03,51,"10//18205090",20,FALSE
2019-12-31,45,"10//18206080",101,FALSE
2019-12-31,40,"10//182080100",101,FALSE
2017-03-01,23,"10//1830",51,FALSE
2017-10-30,27,"10//1830100",155,FALSE
2017-11-30,26,"10//1830100",198,FALSE
